x1,x2,x3,y
0,30,-20,40.4834
1,31,-19,49.4531
2,32,-18,60.8953
3,33,-17,70.2757
4,34,-16,80.091
5,35,-15,89.8517
6,36,-14,99.0039
7,37,-13,109.3132
8,38,-12,120.6048
9,39,-11,130.0919
10,40,-10,140.3619
11,41,-9,150.1682
12,42,-8,159.54
13,43,-7,169.4707
14,44,-6,180.4174
15,45,-5,189.1336
16,46,-4,199.3529
17,47,-3,210.1093
18,48,-2,219.8409
19,49,-1,230.0023
20,50,0,239.228
21,51,1,250.9366
22,52,2,259.0582
23,53,3,269.7384
24,54,4,280.4304
25,55,5,290.5747
26,56,6,300.6323
27,57,7,310.1312
28,58,8,320.6941
29,59,9,330.5262
30,60,10,339.6628
31,61,11,349.8823
32,62,12,360.3157
33,63,13,369.8041
34,64,14,379.818
35,65,15,390.1838
36,66,16,399.2288
37,67,17,409.3332
38,68,18,420.0997
39,69,19,429.0665
40,70,20,440.4976
41,71,21,449.3916
42,72,22,460.2272
43,73,23,469.2305
44,74,24,480.8113
45,75,25,489.4736
46,76,26,499.5267
47,77,27,510.2424
48,78,28,520.6815
49,79,29,530.8964
50,80,30,539.8718
51,81,31,550.9788
52,82,32,559.0002
53,83,33,569.1936
54,84,34,579.2832
55,85,35,589.6157
56,86,36,599.5785
57,87,37,609.2069
58,88,38,620.0
59,89,39,629.0771
60,90,40,639.6825
61,91,41,650.2187
62,92,42,660.6865
63,93,43,669.8841
64,94,44,679.1962
65,95,45,690.8812
66,96,46,700.1801
67,97,47,709.8858
68,98,48,720.3493
69,99,49,730.3527
70,100,50,739.9644
71,101,51,749.3138
72,102,52,760.1429
73,103,53,770.935
74,104,54,779.8612
75,105,55,790.2576
76,106,56,800.4607
77,107,57,809.4528
78,108,58,820.7222
79,109,59,829.2057
80,110,60,840.9488
81,111,61,850.5985
82,112,62,859.7771
83,113,63,869.6861
84,114,64,880.1851
85,115,65,890.8955
86,116,66,900.9564
87,117,67,909.3727
88,118,68,920.5962
89,119,69,930.315
90,120,70,940.3583
91,121,71,949.5921
92,122,72,959.2981
93,123,73,970.3488
94,124,74,979.97
95,125,75,990.3811
96,126,76,1000.7822
97,127,77,1010.7179
98,128,78,1019.0506
99,129,79,1029.9709
